"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-25","8.50"," 0348"," 0037","0.00",,,,"29","34","23",,"   50","   40",,"13.0","14.1","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-26","8.28"," 2346"," 2344","0.01",,,,"36","43","29",,"  220","  220",,"15.0","17.0","    1","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,"    1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-27","10.07"," 0749"," 0706","0.00",,,,"47","65","29",,"  210","  210",,"17.0","21.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-28","10.29"," 0922"," 0920","0.00",,,,"55","74","36",,"  230","  220",,"21.0","23.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-29","13.42"," 1531"," 1531","0.01",,,,"44","56","32",,"  300","  300",,"33.1","36.9",,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-30","11.86"," 2251"," 2250","0.04",,,,"37","52","22",,"  360","  360",,"28.0","36.9","    1","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-31","17.22"," 0645"," 0643","0.00",,,,"36","46","25",,"   10","   10",,"30.0","36.0","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-01","12.08"," 1544"," 1458","0.00",,,,"44","61","26","    0","  120","  120",,"19.9","23.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-02","10.74"," 2233"," 2232","0.00",,,,"51","66","35",,"  210","  210",,"16.1","19.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-03","10.51"," 1455"," 1447","0.00",,,,"56","74","38",,"  110","   90",,"21.9","28.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-04","14.09"," 1944"," 2350","0.00",,,,"56","70","42",,"  300","  340",,"32.0","36.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-05","25.28"," 0818"," 0848","0.22",,,,"45","53","37","    0","  330","  340",,"45.0","53.0","    1",,,,,,,"    1",,,,"    1",,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-06","10.96"," 1047"," 1107","0.00",,,,"47","62","31","    0","   10","   20",,"23.9","31.1",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-07","14.76"," 2046"," 2044","0.00",,,,"52","74","30",,"  190","  190",,"31.1","36.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-08","17.45"," 1510"," 1510","0.00",,,,"58","73","42",,"  190","  200",,"47.0","53.9",,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-09","12.97"," 1930"," 1535","0.18",,,,"47","65","29",,"   20","  200",,"33.1","45.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-10","22.37"," 0614"," 0618","1.09",,,,"34","38","29",,"  360","   10",,"40.0","46.1","    1","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,,"    1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-11","13.87"," 0736"," 0739","0.01",,,"9.0","36","43","29",,"  350","  360",,"30.0","36.0","    1",,,,,,,,"    1",,,"    1",,,,,"    1",,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-12","8.95"," 2358"," 2357","0.00",,,"2.0","39","50","28",,"  170","  170",,"15.0","16.1",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-13","11.86"," 2345"," 2347","0.00",,,,"43","56","29",,"  190","  180",,"28.0","33.1",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-14","13.20"," 0257"," 0306","0.00",,,,"55","70","40","    0","  190","  180",,"29.1","33.1",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-15","8.50"," 0042"," 0042","0.00",,,,"42","49","35","    0","  340","  340",,"23.0","29.1",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-16","7.61"," 2031"," 2034","0.00",,,,"50","67","33","    0","  190","  190",,"17.9","21.0","    1",,,,,,,,,,,"    1",,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-17","7.38"," 1442"," 1441","0.00",,,,"56","70","41",,"  100","  100",,"17.0","19.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-18","11.41"," 1514"," 1513","0.00",,,,"59","78","40",,"  130","  140",,"21.9","25.1",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-19","9.62"," 0908"," 1450","0.00",,,,"56","68","44",,"   20","   40",,"19.9","23.9","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-20","10.29"," 1823"," 1954","0.49",,,,"43","50","35",,"  250","  360",,"25.9","32.0","    1",,"    1","    1","    1",,,,,,,"    1","    1",,"    1",,"    1",,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-21","13.42"," 1659"," 1658","0.00",,,,"46","60","31",,"  290","  280",,"31.1","36.0","    1",,,,,,,,,,,"    1",,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-22","10.29"," 1346"," 1326","0.00",,,,"45","58","32",,"   20","   20",,"17.9","23.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-23","11.86"," 2043"," 2323","0.00",,,,"52","67","37",,"  150","  160",,"28.0","30.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-24","7.61"," 0006"," 0006","0.16",,,,"44","49","38",,"  160","  150",,"23.9","29.1","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-25","12.53"," 1156"," 1122","0.07",,,,"47","56","38",,"   20","   20",,"36.0","40.9","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-26","11.63"," 1701"," 1700","0.00",,,,"50","64","35","    0","   20","   20",,"36.9","51.0",,,,,,,,,,,"    1",,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-04-27","13.42"," 1338"," 1337","0.12",,,,"47","61","32","    0","   20","   10",,"30.0","36.0","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,"    1"
